年月日,未調整收盤價(元),週報酬率 %,外資買賣超(張),投信買賣超(張),自營買賣超(張),融資增加(張),融資減少(張),融券增加(張),融券減少(張),外資連續累計買賣超(張),投信連續累計買賣超(張),自營連續累計買賣超(張),法人連續累計買賣超(張),外資成交比重,投信成交比重,自營成交比重,法人成交比重,信用交易比重
2015/3/6,149,-0.009967,-7018,-335,2206,841,0,0,351,-7018,-1087,2206,-5147,68.67,0.58,3.53,72.78,0.31
2015/3/13,149,0.000001,-5934,541,-533,0,2033,142,0,-97212,3295,-1303,-86544,65.35,0.61,1.98,67.94,0.34
2015/3/20,154,0.033557,141,-751,-325,82,0,0,221,34090,-751,-7956,-935,81.13,1,1.43,83.56,0.33
2015/3/27,142.5,-0.074676,-68227,-1296,2558,3904,0,0,992,-145841,-4867,8451,-141168,63.22,0.58,1.53,65.33,0.53
2015/4/2,147,0.031579,3960,51,-1722,0,669,0,32,3960,51,-1883,2289,65.87,0.63,2.42,68.91,0.04
2015/4/10,147,0,3756,-560,-133,0,2064,387,0,3756,-2237,-133,3063,53.97,0.83,2.72,57.52,0.27
2015/4/17,142.5,-0.030611,-35732,-2307,-1794,1310,0,0,715,-35732,-5512,-1794,-39833,61.36,1.55,2.32,65.23,0.3
2015/4/24,152.5,0.070175,88817,-232,-1957,0,6126,1496,0,104912,-232,-1957,104089,59.29,0.49,1.98,61.75,0.58
2015/4/30,147,-0.036065,-14490,-100,56,1437,0,0,376,-16155,-1612,3040,-14534,70.46,0.21,1.92,72.59,0.63
2015/5/8,146.5,-0.003403,-192,29,13,0,1758,0,36,-30756,226,760,-28231,67.29,0.11,1.64,69.04,1.55
2015/5/15,146.5,0,2084,-245,-1275,177,0,17,0,2084,-245,-1275,564,60.58,0.58,3.81,64.98,0.84
2015/5/22,145.5,-0.006826,-8669,-632,-136,0,12,15,0,-15276,-3060,-4346,-22831,54.95,1.47,2,58.42,0.81
2015/5/29,146,0.003436,-6628,-63,1367,728,0,0,50,-6628,-632,1367,-5324,89.91,0.25,1.43,91.59,0.11
2015/6/5,140,-0.041095,-13391,-730,-406,0,191,0,9,-67057,-7224,-406,-76620,54.64,0.91,1.87,57.43,0.59
2015/6/12,144.5,0.032143,-9520,-34,-570,0,1356,82,0,-129479,-34,-1677,-141138,62.74,0.59,0.99,64.32,0.2
2015/6/18,142,-0.017302,-11080,-143,1832,40,0,0,224,-167117,-811,3156,-176397,70.76,0.97,4.59,76.32,0.17
2015/6/26,146,0.028169,11716,-23,4466,0,2127,0,0,34786,-23,4466,39057,38.69,0.38,7.73,46.8,0.06
2015/7/3,142.5,0.007738,1203,50,-990,0,383,31,0,1208,50,-1514,263,62.92,0.15,3.97,67.04,1.1
2015/7/9,136.5,-0.042106,-22267,-362,-855,206,0,0,65,-41899,-362,-4586,-45449,57.39,0.44,4.6,62.44,0.47
2015/7/17,140,0.025641,22873,986,-2772,0,2858,0,42,22873,986,-2772,21087,53.13,1.05,2.89,57.07,0.79
2015/7/24,137,-0.021429,-3414,629,-447,154,0,379,0,-21478,3388,-447,-18491,72.79,1.12,1.05,74.95,0.13
2015/7/31,139.5,0.018248,6334,257,-1494,0,419,473,0,26113,5703,-3942,23253,78.87,0.46,2.46,81.78,0.98
2015/8/7,133,-0.046595,-8121,214,2,784,0,96,0,-39070,214,6989,-19265,49.53,1.07,2.07,52.67,0.49
2015/8/14,126,-0.052632,-4308,-1518,296,1591,0,77,0,-4308,-1727,1099,-5530,64.45,2.19,2.19,68.84,0.8
2015/8/21,121,-0.039683,-13678,-335,-1290,622,0,0,108,-22968,-3090,-1290,-25126,64.62,0.25,1.79,66.65,0.87
2015/8/28,125,0.033058,-666,-220,-480,0,660,0,98,-13708,-220,-6898,-14658,67.2,1,2.33,70.53,0.58
2015/9/4,125,0,-29,-286,-977,253,0,0,345,-29,-286,-14451,-1292,66.42,0.73,3.04,70.2,0.08
2015/9/11,127.5,0.02,5180,-293,366,0,581,21,0,5180,-736,2274,5253,66.43,1.29,1.65,69.37,0.98
2015/9/18,131.5,0.031373,7206,-1854,559,0,156,0,226,46490,-1854,4630,46870,78.67,3.18,1.14,82.98,0.13
2015/9/25,127,-0.034221,654,202,81,157,0,0,283,7305,747,81,6790,75.66,0.41,2.83,78.9,0.69
2015/10/2,132,0.03937,-715,216,271,335,0,0,336,-715,2382,271,-228,75.3,0.91,1.57,77.79,0.04
2015/10/8,136,0.030304,13850,420,2,0,1124,121,0,37292,1422,2,38331,56.18,0.71,0.99,57.88,0.31
2015/10/16,137.5,0.011029,-2341,309,804,1108,0,0,717,-2341,1065,3382,-1228,61.85,0.68,2.64,65.17,0.45
2015/10/23,140,0.018182,17978,-142,-437,0,1469,158,0,52162,-142,-1549,52170,61.95,0.85,1.72,64.52,0.2
2015/10/30,136.5,-0.025,45,126,245,282,0,0,54,45,375,1181,416,80.96,0.23,1.34,82.53,0.13
2015/11/6,140,0.02564,-7602,-132,387,1389,0,0,944,-7602,-132,759,-7347,69.97,0.27,1.96,72.19,0.19
2015/11/13,136,-0.028572,-7385,76,55,663,0,0,218,-7385,960,55,-7254,74.65,0.34,1.83,76.82,0.2
